device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
0e2cc98c-116a-48e0-9cb4-1ee62f9d5f07,SW-HUAWEI-CENTRAL-CONECT-NOVO,Conect Fibra,Switch Huawei,45.5.88.78,22459,ajust,0,0
c14b14f7-1941-48f6-8ad5-156a42541ff6,AUTENTICADOR -  1009 - UPATININGA,LL Telecom - Cliente Cancelado,MikroTik RouterOS,189.84.114.244,15424,ajust,0,0
ff9e98e7-ebc4-4240-94a2-c60e8675c0fa,PE 02 POP PAU AMARELO,I4 Telecom,MikroTik RouterOS,45.187.169.228,15422,ajust,0,2
41672f58-6032-4f87-8bc0-faf4f8c37a9c,CCR1072-GERENCIA-WELLNET,Well Fibra,MikroTik RouterOS,190.89.145.21,22022,ajust,0,2
f58cbd95-2907-4fcf-865b-f190de9e78e5,ROUTER - BORDA MIKROTIK 1016 (antigo bgp) ROSARINHO,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.142.132,15422,ajust,0,0
4e7aa812-41de-45c2-b901-e246d6f0cefa,SWITCH  HUAWEI  5732 CORE IPOJUCA,Rio Net,Switch Huawei,45.162.226.74,22359,ajust,0,0
c43e2fd2-be91-4cb2-b0e3-5eb44bf69f88,OLT-DATACOM-DM4615-PINDORAMA,Infotel,OLT ZTE,170.150.136.56,26101,ajust,0,0
fe387e82-131b-4869-af45-f4dfe16bcf75,BORDA_MUNDO-NET_RECIFE,Mundo Net,MikroTik RouterOS,179.42.37.40,15422,ajust,0,2
5016b151-7a07-4683-b4dd-cffeb1648712,BORDA SITIO NUNES,CNB Telecom,MikroTik RouterOS,177.36.0.240,40022,ajust,0,0
28084e71-7ee9-4f2e-9464-5894665b8941,SWITCH  HUWAEI 10GB GGC,Martins Telecom - Cliente Cancelado,Switch Huawei,45.176.142.106,60529,ajustconsulting,0,0
f8ae9167-ca89-4e3c-bcf3-92de5898b4b2,Autenticador LinsNet,Lins Net,MikroTik RouterOS,170.79.170.104,15422,ajust,0,0
10824938-50a1-4320-9622-2eaa28b2f994,OLT V Solution GPON Porto de Galinha,Meganet,OLT VSOL,45.176.56.240,40423,sgpsgp,0,4
f9bb946b-f6a2-44c6-a6ba-2b882a3dcb4c,RB4011 Enotel ( SEM ACESSO AO EQUIPAMENTO ),Rio Net,MikroTik RouterOS,187.87.134.121,8123,surfix,0,0
e243eec8-1bc7-4c8a-bc14-31c622a35b5e,OLT-ZTE-CAUEIRAS,LL Telecom - Cliente Cancelado,OLT ZTE,45.232.190.160,9095,sgpsgp,0,0
e9ea6a1e-dc9a-4700-b0a1-e2284ab2fe10,AUTENTICADOR -  1016 - ALIANCA,LL Telecom - Cliente Cancelado,MikroTik RouterOS,45.232.190.160,15423,ajust,0,0
d3f26842-6cc7-47ff-8d8a-437889dfef97,Concentrador POP Pau Amarelo,I4 Telecom,MikroTik RouterOS,45.187.170.1,7622,ajust,0,0
e6c01e27-5b06-4ac7-8ce3-38ee59be21dc,CCR 1036 Gerência - vpn,Meganet,MikroTik (Download Backups) - VPN,45.176.56.240,2281,backup-user,0,2
66db69ce-cbcc-44f9-a34c-a2bc520258af,RB PABX REDE SMARTLINK,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.143.5,15422,ajust,0,0
3f5f14f6-49f9-443f-9747-67ff90925cf8,MK RB 3011 - HARAS_CAPIM_DOURADO,INET,MikroTik RouterOS,177.71.83.128,15422,ajust,0,0
86e225fe-e3bc-482f-b6dc-84f3ab6168e2,CCR 1016 - FELIPE-NET,INET,MikroTik RouterOS,177.71.83.165,15422,ajust,0,0
604880e9-605e-4852-a5e7-e8753296028b,RB 3011,G5 - Piedade,MikroTik RouterOS,192.141.105.40,15422,ajust,0,3
59d6631a-346d-4e8a-92c0-f5977e55c9bc,PROLINK-CONCENTRADOR-AURORA,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.142.129,22,ajust,0,0
39b52f1a-f2c7-4bea-a26e-a40ac0f3d7a8,RB 4011 GERENCIA,Martins Telecom - Cliente Cancelado,MikroTik RouterOS,45.176.142.106,15422,ajust,0,0
faf3f89b-0077-4815-b095-64444f921ac8,CCR2004 - MATRIZ DA LUZ,G5 - Jaboatão,MikroTik RouterOS,192.141.105.10,2222,ajust,0,4
d37d95b8-8981-450f-8e66-827224cdcf50,OLT CONECTA,G5 - Will,OLT Huawei,201.71.4.46,22,ajustconsul,0,0
5856d82c-c339-44d6-a7df-feac685fe0bb,RB Gerência - VESCNET,Grupo Vesc,MikroTik RouterOS,201.76.98.98,15422,ajust,0,3
888c4346-5f07-46bf-8e83-4aacb6478961,CGNAT,Grupo Telecom,MikroTik RouterOS,181.225.170.5,15422,ajust,0,2
50aff9e0-993e-4d67-bcf8-b8fd5bc482c0,OLT DATACOM CAMARAGIBE,Martins Telecom - Cliente Cancelado,OLT Datacom,45.176.142.106,23030,ajustconsulting,0,0
cf659762-a5e6-426f-87a3-1d2938c95560,Switch Huawei S5720 Porto de Galinhas,Meganet,Switch Huawei,45.176.56.240,10443,ajust,0,0
c3427a0f-6adb-4bbd-b950-d5f040737650,CCR 1036 CGNAT,JaNet,MikroTik RouterOS,190.89.233.128,15422,ajust,0,2
aa3537c8-8d3d-471c-9e65-251451aea6a7,Switch TPLink- BVNET,BVNet,Switch TP-LINK,192.168.230.2,22,ajust,0,0
fd029589-09b8-43bf-80a4-bd43341889c8,RB3011 - Gerencia,I4 Telecom,MikroTik RouterOS,45.187.169.228,15422,ajust,0,2
99b74805-e924-48d5-aa25-27b7f89e137a,Autenticador Inocoop,Cavalcanti Net,MikroTik RouterOS,170.84.85.232,2229,ajust,0,0
31b61a68-8106-4c73-8d54-bebfe16ae1cf,OLT HUAWEI - JANGA,Vibe,OLT Huawei,187.17.137.188,23749,acessosgp,0,16
87fe391b-a24a-4283-88c5-8fd13fcf1b51,CGNAT- Core - PONTE DIGITAL,Ponte Digital,MikroTik RouterOS,170.80.48.1,15422,ajust,0,2
136e7ced-963f-4a65-8c27-bd9ad2caed6d,CRS-317 Switch 01 - Paulista,Mais.Net,MikroTik RouterOS,170.79.170.0,15455,ajust,0,2
45e2951a-dddc-468a-8080-10452ac32530,Mikrotik	 Autenticador,DuNet,MikroTik RouterOS,45.224.219.44,15422,ajust,0,2
e0abb4df-a25b-4aa3-a832-ed41a8435945,OLT INTELBRAS EPON 4840E,CellNet,OLT Intelbras,190.89.232.34,23,admin,0,0
3668591d-d546-4c76-a8c8-f17984048df6,Autenticador Line Connect,Line Conect,Router Huawei,164.163.230.1,26504,ajustconsulting,0,0
2502bb1d-8eb6-43c9-9f7d-87577edba1b2,Rb 1100 Escritrio Gerencia Goiana,PGI Telecom,MikroTik RouterOS,177.125.8.237,2223,ajust,0,2
138ae6b6-c23c-4194-b081-fba06817554a,RB1009 - MORENO,G5 - Jaboatão,MikroTik RouterOS,192.141.105.26,2222,ajust,0,2
567d7ad5-b99a-4323-a981-00597a3d726f,OLT - VSOL IGARASSU,TC+ Fibra (Agility),OLT VSOL,164.163.20.78,8032,ajust,0,2
51b5ad1b-3af9-4c2c-9b17-caf2c82f456b,SWCORE-INFORNET,Grupo Telecom,MikroTik RouterOS,181.225.168.128,1533,ajust,0,3
feda3639-1d01-486a-8b00-b4e2ffca032c,RB BORDA,G5 - Piedade,MikroTik RouterOS,192.141.105.40,15422,ajust,0,3
eceef928-1cbc-4466-bc0e-3d2722d18bbc,QualyNet FastLink CCR1009,QualyNet,MikroTik RouterOS,168.194.12.160,2215,ajust,0,0
4409f28f-ba97-468f-a524-587845097c52,Borda LinsNet,Lins Net,MikroTik RouterOS,170.79.170.104,22,ajust,0,0
44957844-e764-4202-8f01-9cfe175b3c24,OLT DATACOM POP- ENG MEIO,Martins Telecom - Cliente Cancelado,OLT Datacom,45.176.140.6,50021,admin,0,0
6ac6b6ed-5a59-472e-bc2c-b8aaeaeb2b6c,Huawei - OLT,PowerFibra,OLT Huawei,187.17.137.188,23722,sgpolt,0,16
4bcea5de-5b3c-4853-822c-1720f8cde5f9,CCR1072 - CGNAT,SofiaNet,MikroTik RouterOS,128.201.156.38,8181,ajust,0,2
cf24abfc-2b1a-431e-98a1-70ceb3bf74e8,AUTENTICADOR-TORRE-OGA_FIBRA_TELECOM,Oga Fibra Telecom,MikroTik RouterOS,179.51.151.48,15422,ajust,0,2
a9fe637c-935e-4737-9181-56bdc4b4e27a,OLT HUAWEI - MARANGUAPE II,Vibe,OLT Huawei,187.17.137.188,23755,sgpolt,0,16
3283b088-3cf9-4aaf-971b-b14efbc2e63b,Borda - PAULISTA,Mais.Net,MikroTik RouterOS,170.79.170.0,15422,ajust,0,2
202a33e7-c398-4b59-bebc-ecd0e0483980,CCR-1036-PONTO_NET,Ponto Net,MikroTik RouterOS,45.168.153.220,1022,ajust,0,3
1a4da953-5ca5-4b3d-8417-dbda380e65d6,CRS317,Infortec,MikroTik RouterOS,187.86.163.14,22622,ajust,0,4
d7f1296a-66d0-4936-bc05-c5ecb6192df1,RB-MUNDONET-CORTES,Mundo Net,MikroTik RouterOS,179.42.37.40,15423,ajust,0,2
3a813810-2b27-4d66-9ad9-55084dbb8228,OLT Parks,Oga Fibra Telecom,Olt Parks,179.51.151.48,7188,admin,0,0
fe1eee67-48fe-48de-8eb8-fce4f2725167,RB BORDA JANGA,AF Telecom,MikroTik RouterOS,179.51.150.14,15422,ajust,0,2
0809b913-a3de-4cbf-8d67-3ecdeb3ed97c,VSOL-EPON CABO,G5 - Cabo,OLT VSOL,45.187.19.24,8676,tiago,0,0
7a89f0a7-0949-44d6-8030-e081128e65f5,CONCENTRADOR MULTINET CURADO 1036,MULTNET,MikroTik RouterOS,200.81.55.129,13563,backup,0,4
1b363a80-cb35-4a09-ac6c-e5a6bb7312dd,CGNAT MCNET,MCNet,MikroTik RouterOS,45.164.10.128,15422,ajust,0,2
686de333-5f80-4f84-9bd6-90e6e0d654c1,OLT ZTE TAQUIRI C610,Infotel,OLT ZTE,164.163.230.8,2222,zte,0,0
d744e936-21de-4cc2-a09d-bfece3eb838f,BNG-REALNET-NM,Real Net,MikroTik RouterOS,170.81.76.175,2222,ajustconsulting,0,0
996ae133-e0a3-4ea7-b1fc-e7038698788c,CCR 1036 Gerência,Meganet,MikroTik RouterOS,45.176.56.240,2281,backup-user,0,2
33aadd1a-b826-4bff-887e-6bf1b13dee3d,OLT HUAWEI - ARTHUR / PARATIBE,Vibe,OLT Huawei,187.17.137.188,23744,acessosgp,0,16
ba3366e4-c368-4976-9b61-a1d7ce037cd1,BORDA-INFONET,Grupo Telecom,MikroTik RouterOS,181.225.168.128,15422,ajust,0,3
672ba87e-6039-4f7c-9ea0-271d9d068840,*SW-CRS MIRUEIRA,AF Telecom,MikroTik RouterOS,179.51.150.12,8409,ajust,0,4
17363b3d-ec13-4de8-ae3c-d3828d13e0a0,OLT EPON C-DATA EPON TIUMA,Infortec,OLT CDATA,187.86.163.178,12327,admin,0,0
c1c3e09b-241f-4bbc-81c4-e98eba491c03,CE 01 UPNET,RCR Telecom,MikroTik RouterOS,45.186.54.64,2250,ajust,0,0
624a1984-d50a-4fe8-87f3-460fd0553186,MikroTik RB 760 (ISP Game),Pix Fibra,MikroTik RouterOS,10.31.255.226,22,ajust@emfibra,0,0
29008762-0b10-4b38-8333-26fe5dd25d8d,CCR 1016 CENTRAL NAVEGANET,Navega Net,MikroTik RouterOS,160.19.44.103,15422,ajust,0,0
e0eca697-85dc-4d98-9cc3-6d70e0bf1013,BORDA,CNB Telecom,MikroTik RouterOS,177.36.0.240,15422,ajust,0,0
434591dd-6ec1-49ac-bd9f-edcfb9a5a56f,OLT- FIBERHOME-PE-22,SofiaNet,OLT FiberHome,128.201.156.102,2330,GEPON,0,0
0c3db19a-d01b-42a9-bb5b-f1edebba4382,Autenticador Campina Grade,Vibe,MikroTik RouterOS,170.79.168.72,15422,ajust,0,0
